"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c"
"BSLL 4104: Communication- One of the Key Elements of Impactful Leadership","BSLL 4104","BSLL 4104","OEE","","<p>This course will provide insights and understanding of the critical and strategic importance of internal and external communication using actual corporate examples. As a result of this course, students will know how to identify the right elements of communication for an intended audience, and the importance of timely, clear, and transparent communication to build a community and drive results.</p>","BSLL-4104","This course will provide insights and understanding of the critical and strategic importance of internal and external communication using actual corporate examples. As a result of this course, students will know how to identify the right elements of communication for an intended audience, and the importance of timely, clear, and transparent communication to build a community and drive results."
"BSLL 4105: Data Analytics: Inform Your Decision Making","BSLL 4105","BSLL 4105","OEE","","<p>This course will introduce you to the fundamentals of primary and secondary data analysis with the aim of applying analytic techniques used by marketers to transform data into decision-making information. The course will instruct you in the concepts, methods, and applications of these research practices. A variety of research approaches will be examined, including methods for collecting primary research as well as analytical methods applied to both primary and secondary data. The use of secondary data from numerous data sources to inform marketing decisions has become more widely accepted in business practice.</p>","BSLL-4105","This course will introduce you to the fundamentals of primary and secondary data analysis with the aim of applying analytic techniques used by marketers to transform data into decision-making information. The course will instruct you in the concepts, methods, and applications of these research practices."
"BSLL 4106: Success Factors in Talent Management: The Strategic Advantage for Man","BSLL 4106","BSLL 4106","OEE","","<p>Strategic talent management is the association between a company’s strategies, objectives and goals and your people programming. This course will underscore the importance of alignment and execution in hiring, training, managing performance, compensating and retaining people in all roles including employees and contractors. You will gain insight into moving beyond traditional “Human Resources” and explore the many ways to facilitate organizational success by linking your people strategy to your organizational strategy.</p>","BSLL-4106","Strategic talent management is the association between a company’s strategies, objectives and goals and your people programming. This course will underscore the importance of alignment and execution in hiring, training, managing performance, compensating and retaining people in all roles including employees and contractors."
"BSLL 4107: Best Practices in Professional Selling: Chart the Course for Successf","BSLL 4107","BSLL 4107","OEE","","<p>This course blends managerial and theoretical perspectives in an examination of sales strategies, sales tactics and best practices in professional selling. The primary context for the course is business-to-business (B2B) selling, although many of the course concepts are relevant for direct-to consumer situations. The course examines the entire sales process, with particular emphasis on relationship selling, planning and delivery of sales presentations, and trust-building techniques.</p>","BSLL-4107","This course blends managerial and theoretical perspectives in an examination of sales strategies, sales tactics and best practices in professional selling. The primary context for the course is business-to-business (B2B) selling, although many of the course concepts are relevant for direct-to consumer situations."
"BSLL 4108: Leading and Developing High Performance Teams","BSLL 4108","BSLL 4108","OEE","","<p>This course will introduce the participant to the importance of creating and empowering teams to fuel an organization’s success. Team dynamics, appropriate role assignments, and effective leadership are fundamentals of positive team outcomes. Students will learn ways of leveraging their behavioral style as a team leader and to successfully lead diverse and cross-functional teams.</p>","BSLL-4108","This course will introduce the participant to the importance of creating and empowering teams to fuel an organization’s success. Team dynamics, appropriate role assignments, and effective leadership are fundamentals of positive team outcomes. Students will learn ways of leveraging their behavioral style as a team leader and to successfully lead diverse and cross-functional teams."
"BSLL 4109: Disruptive Technology: Creating Opportunities from Disruptive Innovat","BSLL 4109","BSLL 4109","OEE","","<p>Rather than just trying to survive the never-ending cycle of change to you and your organization, this course will equip you to apply analytical skills, tools, and disruption strategies to identify current and emerging innovations that will impact your organization. This includes the ability to prioritize impacts so that you can leverage innovations to create a unique competitive advantage. Become ready to leverage innovations such as AI, quantum computing, autonomous decision making, IOT, synthetic biology, cloud and new business models to your competitive advantage.</p>","BSLL-4109","Rather than just trying to survive the never-ending cycle of change to you and your organization, this course will equip you to apply analytical skills, tools, and disruption strategies to identify current and emerging innovations that will impact your organization. This includes the ability to prioritize impacts so that you can leverage innovations to create a unique competitive advantage."
"BSLL 4110: Fundamentals of Supply Chain Management","BSLL 4110","BSLL 4110","OEE","","<p>Today very few businesses have the capability to do everything themselves, and almost all businesses rely on suppliers, contractors, service providers and other external partners to deliver products and services to their customers. Businesses that optimize their supply chains and effectively manage their suppliers as an extension of their internal operations gain a competitive advantage that enables them to serve their customers and maintain profitability.</p>","BSLL-4110","Today very few businesses have the capability to do everything themselves, and almost all businesses rely on suppliers, contractors, service providers and other external partners to deliver products and services to their customers."
"BSLL 4111: Charting the Course Using Agile Project Management","BSLL 4111","BSLL 4111","OEE","","<p>A growing number of businesses are realizing that their ability to successfully execute projects is closely tied to revenue growth and profitability. Business leaders are entrusted to manage the resources and assets of the firm, and their understanding of project management principles helps them ensure that they apply those resources in a way that maximizes shareholder value. This course helps the participant understand the basic skills associated with traditional and agile forms of project management. The skills include making tradeoffs between schedule, cost, performance, risk management, stakeholder management, project monitoring, release planning and iteration management.</p>","BSLL-4111","This course helps the participant understand the basic skills associated with traditional and agile forms of project management. The skills include making tradeoffs between schedule, cost, performance, risk management, stakeholder management, project monitoring, release planning and iteration management."
"BSLL 4112: Embracing the Power of the Female Leader: Expanding Influence and Lea","BSLL 4112","BSLL 4112","OEE","","<p>Inclusive organizations outperform those that are not, yet women remain underrepresented in all levels of management. This program will help all leaders navigate the business landscape, develop and leverage female talents, and provide roles of greater influence and contribution. By completion of this course, participants will gain an appreciation of behaviors and strategies that enhance leadership in the workplace and positively impact success and promotability for women.</p>","BSLL-4112","This program will help all leaders navigate the business landscape, develop and leverage female talents, and provide roles of greater influence and contribution. By completion of this course, participants will gain an appreciation of behaviors and strategies that enhance leadership in the workplace and positively impact success and promotability for women."
"BSLL 4114: Managing Data Privacy for Competitive Advantage","BSLL 4114","BSLL 4114","OEE","","<p>This course will offer a data privacy framework that explains drivers and outcomes, as well as overviews of both the customer and organizational risks that are involved. The instructor takes a synergistic approach to examining data privacy from individual, organizational, regulatory and global perspectives. Participants will have a comprehensive understanding of the data privacy landscape and will be able to identify the most serious privacy elements in the organization and proactively improve practices for strategic advantage.</p>","BSLL-4114","This course will offer a data privacy framework that explains drivers and outcomes, as well as overviews of both the customer and organizational risks that are involved. Participants will have a comprehensive understanding of the data privacy landscape and will be able to identify the most serious privacy elements in the organization and proactively improve practices for strategic advantage."
"BSLL 4115: Strategic Opprotunities and Topics in Corporate Sustainable Enterpris","BSLL 4115","BSLL 4115","OEE","","<p>Sustainability issues are having increasing effects on corporate strategy and action. While such issues present substantial risks, they also create substantive opportunities. The course offers insight into the central issues of sustainability, the increasing business case for sustainability, and an overview of the concepts, tools, and techniques of sustainable enterprise. The course will begin with an overview of sustainability and move to addressing the opportunities present in the transition to a more sustainable economy. The course will also address the various language and tools used by sustainability professionals, overviewing various topics such as environmental marketing, carbon accounting, life cycle analysis, certification systems, systems innovation, greenhouse gas policy approaches.</p>","BSLL-4115","The course offers insight into the central issues of sustainability, the increasing business case for sustainability, and an overview of the concepts, tools, and techniques of sustainable enterprise."
"BSLL 4116: Venture Validator","BSLL 4116","BSLL 4116","OEE","","<p>Validator is a free program, open to all, where aspiring entrepreneurs meet twice a week for two weeks to test out their new business concepts. With the support of seasoned mentors and coaches, students conduct customer discovery and market research, create a business model, analyze their competitive landscape, protype products and ultimately pitch their ideas with the goal of launching successful ventures.</p><p>This intensive process is a necessary step in the entrepreneurship experience and ultimately sets businesses up for success, providing the knowledge needed to grow a venture while avoid common pitfalls and frustrations.</p><p>The Venture Validator is led by people who have been through the real-world trials of creating and running their own companies. Their experience and insights will help you grow your business as they provide the tools, resources, and guidance you need to be successful. Institute for Entrepreneurship mentors help deliver this interactive workshop.</p><p>For more information, click <a href=""https://biz.colostate.edu/resources/centers-institutes/entrepreneurship/venture-validator"">here</a>.</p>","BSLL-4116","Validator is a free program, open to all, where aspiring entrepreneurs meet twice a week for two weeks to test out their new business concepts."
"AGBB 5000: Introduction to Irrigation Water Management Principles Test Trek Cour","AGBB 5000","AGBB 5000","OEE","","<p>Introduction to Irrigation Water Management Principles Test Trek Course</p>","AGBB-5000","Introduction to Irrigation Water Management Principles Test Trek Course"
"AGBB 5003: Soil as a Water Reservoir Test Trek Course","AGBB 5003","AGBB 5003","OEE","","<p>Soil as a Water Reservoir Test Trek Course</p>","AGBB-5003","Soil as a Water Reservoir Test Trek Course"
"AGBB 5010: Introduction to Irrigation Water Management Principles","AGBB 5010","AGBB 5010","OEE","","<p>Irrigation Water Management</p>","AGBB-5010","Irrigation Water Management"
"AGBB 5011: Trek 1 - Introduction to Irrigation Water Management Principles","AGBB 5011","AGBB 5011","OEE","","<p>This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use.</p>","AGBB-5011","This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use."
"AGBB 5012: Trek 2 - Soil as a Water Reservoir","AGBB 5012","AGBB 5012","OEE","","<p>This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use.</p>","AGBB-5012","This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use."
"AGBB 5013: Trek 3 - Irrigation Scheduling by Water Balance","AGBB 5013","AGBB 5013","OEE","","<p>This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use.</p>","AGBB-5013","This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use."
"AGBB 5014: Trek 4 - Crop Water Use","AGBB 5014","AGBB 5014","OEE","","<p>This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use.</p>","AGBB-5014","This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use."
"AGBB 5015: Trek 5 - Hands-on Exercise Using WISE Irrigation App","AGBB 5015","AGBB 5015","OEE","","<p>This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use.</p>","AGBB-5015","This Trek badge lesson is funded through a CHS Foundation grant to help improve education and training for precision agriculture careers. It is currently being pilot tested to provide us with valuable feedback before we launch it widely for public use."
"AGBB 5020: Smart Irrigation Using Soil Moisture Sensors and Internet-of-Things T","AGBB 5020","AGBB 5020","OEE","","<p>Quest 2: Smart Irrigation Using Soil Moisture Sensors and Internet-of-Things Technology</p>","AGBB-5020","Quest 2: Smart Irrigation Using Soil Moisture Sensors and Internet-of-Things Technology"
"AGBB 5030: Fundamentals of Meat Packaging","AGBB 5030","AGBB 5030","OEE","","<p>Fundamentals of Meat Packaging</p>","AGBB-5030","Fundamentals of Meat Packaging"
"AGBB 5040: Food Safety","AGBB 5040","AGBB 5040","OEE","","<p>Food Safety</p>","AGBB-5040","Food Safety"
"MEMB 5100: Osher Annual Membership (Fall 2018))","MEMB 5100","MEMB 5100","OEE","","<p>Osher Annual Membership - Fall 2018</p>","MEMB-5100","Osher Annual Membership - Fall 2018"
"MEMB 5200: Osher Green Membership (Spring 2016)","MEMB 5200","MEMB 5200","OEE","","<p>Osher Green Membership - Spring 2016</p>","MEMB-5200","Osher Green Membership - Spring 2016"
"GSLL 3001: Team Science 101","GSLL 3001","GSLL 3001","OEE","","This curriculum is designed to build your capacity to participate in and lead interdisciplinary and translation scientific teams. It addresses the shift in science from an individual-based approach to a teamwork model of conducting clinical and translational research.  The program consists of completion of a self-paced online course followed by participation in six virtual workshops, which are each 2 hours in duration.","GSLL-3001","This curriculum is designed to build your capacity to participate in and lead interdisciplinary and translation scientific teams. It addresses the shift in science from an individual-based approach to a teamwork model of conducting clinical and translational research."
"GSLL 3002: Building Relationships and a Team","GSLL 3002","GSLL 3002","OEE","","<p>It’s not who is on your team, but how your team interacts that best predicts team performance and creativity. With this workshop, you will learn how to bridge differences and cultivate social sensitivity to create genuine relationships on your team. </p>","GSLL-3002","It’s not who is on your team, but how your team interacts that best predicts team performance and creativity. With this workshop, you will learn how to bridge differences and cultivate social sensitivity to create genuine relationships on your team."
"GSLL 3003:  Setting Expectations on a Team","GSLL 3003","GSLL 3003","OEE","","<p>Unclear expectations can foster uncertainty of team members. Explore what processes and tools can help teams bring tacit expectations to the surface, explore how to take turns on a team and overcome the challenges of virtual collaboration.</p>","GSLL-3003","Unclear expectations can foster uncertainty of team members. Explore what processes and tools can help teams bring tacit expectations to the surface, explore how to take turns on a team and overcome the challenges of virtual collaboration."
"GSLL 3004:  Building a Shared Language & Vision","GSLL 3004","GSLL 3004","OEE","","<p>Diverse teams need to be able to communicate across difference based on a shared vision. Practice dialogue methods to negotiate meaning, discuss perspective taking and explore the process of developing a shared vision first-hand. </p>","GSLL-3004","Diverse teams need to be able to communicate across difference based on a shared vision. Practice dialogue methods to negotiate meaning, discuss perspective taking and explore the process of developing a shared vision first-hand."
"GSLL 3005: Collaborative Knowledge Creation","GSLL 3005","GSLL 3005","OEE","","<p>Teams need to solve problems collaboratively to get ahead. Learn what predicts team creativity and why it can be so hard to ideate together. Explore first ideas supporting your team’s collaborative creativity,  practice creativity techniques and discover the strengths and pitfalls of collaborative knowledge creation in community settings.</p>","GSLL-3005","Teams need to solve problems collaboratively to get ahead. Learn what predicts team creativity and why it can be so hard to ideate together. Explore first ideas supporting your team’s collaborative creativity,  practice creativity techniques and discover the strengths and pitfalls of collaborative knowledge creation in community settings."
"GSLL 3006: Change Management, Negotiation, and Conflict Resolution","GSLL 3006","GSLL 3006","OEE","","<p>How can you help your team adjust to change, negotiate responsibilities and handle conflict? The best teams provide clarity on roles and expectations, so team members know how to perform to expectations. They also handle conflict constructively. This workshop will help you explore the effects of role change and power dynamics on a team, let you practice strategies for saying no, and introduce you to different styles and strategies for handling conflict.</p>","GSLL-3006","How can you help your team adjust to change, negotiate responsibilities and handle conflict? The best teams provide clarity on roles and expectations, so team members know how to perform to expectations. They also handle conflict constructively."
"GSLL 3007:  Leadership for All Team Members","GSLL 3007","GSLL 3007","OEE","","<p>Leadership is about purpose and not just for Pis. Practice switching between four essential roles on a team, develop a plan for team members to contribute their greatest strengths, discuss the relationship between following and leading and explore the concept of mentorship.</p>","GSLL-3007","Leadership is about purpose and not just for Pis. Practice switching between four essential roles on a team, develop a plan for team members to contribute their greatest strengths, discuss the relationship between following and leading and explore the concept of mentorship."
"GSLL 3020: Fullstack Web","GSLL 3020","GSLL 3020","OEE","","Fullstack Web","GSLL-3020","Fullstack Web"
"GSLL 3021: Fullstack Cyber","GSLL 3021","GSLL 3021","OEE","","Fullstack Cyber","GSLL-3021","Fullstack Cyber"
"GSLL 3022: Fullstack Product Management","GSLL 3022","GSLL 3022","OEE","","Fullstack Product Management","GSLL-3022","Fullstack Product Management"
"GSLL 3023: Fullstack Dev Ops","GSLL 3023","GSLL 3023","OEE","","Fullstack Dev Ops","GSLL-3023","Fullstack Dev Ops"
"HSLL 1061: Milk Allergens","HSLL 1061","HSLL 1061","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on milk allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for milk-free cooking, a sample meal plan, and several milk-free recipes.","HSLL-1061","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on milk allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1062: Egg Allergens","HSLL 1062","HSLL 1062","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on egg allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for egg-free cooking, a sample meal plan, and several egg-free recipes.","HSLL-1062","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on egg allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1067: Fish Allergens","HSLL 1067","HSLL 1067","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on fish allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for fish-free cooking, a sample meal plan, and several fish-free recipes.","HSLL-1067","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on fish allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1063: Peanut Allergens","HSLL 1063","HSLL 1063","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on peanut allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for peanut-free cooking, a sample meal plan, and several peanut-free recipes.","HSLL-1063","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on peanut allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1069: Sesame Allergens","HSLL 1069","HSLL 1069","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on sesame allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for sesame-free cooking, a sample meal plan, and several sesame-free recipes.","HSLL-1069","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on sesame allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1068: Shellfish Allergens","HSLL 1068","HSLL 1068","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on shellfish allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for shellfish-free cooking, a sample meal plan, and several shellfish-free recipes.","HSLL-1068","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on shellfish allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1066: Soy Allergens","HSLL 1066","HSLL 1066","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on soy allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for soy-free cooking, a sample meal plan, and several soy-free recipes.","HSLL-1066","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on soy allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1064: Tree Nut Allergens","HSLL 1064","HSLL 1064","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on tree nut allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for tree nut-free cooking, a sample meal plan, and several tree nut-free recipes.","HSLL-1064","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on tree nut allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1065: Wheat Allergens","HSLL 1065","HSLL 1065","OEE","","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on wheat allergies including risk factors, testing, and answers to frequently asked questions.  You will also receive practical tools like food lists, tips for eating out, strategies for wheat-free cooking, a sample meal plan, and several wheat-free recipes.","HSLL-1065","Learning the fundamentals of food allergies and their management is imperative in creating a safe environment for yourself and/or others with food allergies. In this course, we will cover information on wheat allergies including risk factors, testing, and answers to frequently asked questions."
"HSLL 1020: Understanding Diabetes","HSLL 1020","HSLL 1020","OEE","","<p>The four-lesson<em> Understanding Diabetes </em>training program provides in-depth explanations of diabetes-related concepts presented in the Dining with Diabetes (DWD) curriculum, including the biology of type 2 diabetes mellitus and its complications, management strategies, and meal planning. Based on content and design of the course, participation and completion of the <em>Understanding Diabetes</em> program is expected to enhance agent knowledge and confidence, leading to improved implementation of DWD.</p>","HSLL-1020","The four-lesson Understanding Diabetes training program provides in-depth explanations of diabetes-related concepts presented in the Dining with Diabetes (DWD) curriculum, including the biology of type 2 diabetes mellitus and its complications, management strategies, and meal planning."
"BSLL 2010: Pivot Jumpstart Larimer","BSLL 2010","BSLL 2010","OEE","","<p>Thank you for your interest in Pivot Larimer County! The cost for participating in this program is covered by the generous sponsorship of Larimer County. The program is also made possible by partnerships with City of Fort Collins, Larimer County Small Business Development Center, Warehouse Business Accelerator, Fort Collins Chamber of Commerce, Loveland Business Development Center, Music District, Institute for Entrepreneurship, and the College of Colorado State University. Designed to help you and your business create new value and become resilient in the face of change.</p><p>By the end of Pivot Larimer County, participant will better understand:</p><ul><li>How to adapt to a changing environment and better futureproof the business to enable long-term success.</li><li>How to stay connected with developing and shifting needs of their customers.</li><li>How to create value for existing and new customers and develop new revenue streams.</li><li>How and when to pivot and change directions in the business.</li><li>How to position the business in the present for eventual and successful exit in the future.</li></ul><p>**<em>Pivot Jumpstart registration is open to businesses operating in the boundaries of Northern Colorado only.</em></p><p><strong>Format</strong></p><p>Pivot Jumpstart is presented as a self-paced video-based workshop series. This updated format gives the option to businesses owners to watch recorded faculty-led lectures and ability to connect Institute for Entrepreneurship team for any questions or mentoring needs.</p><p> </p>","BSLL-2010","Pivot Jumpstart is presented as a self-paced video-based workshop series. This updated format gives the option to businesses owners to watch recorded faculty-led lectures and ability to connect Institute for Entrepreneurship team for any questions or mentoring needs."
"AGBB 1032: Strategic Ranch Management","AGBB 1032","AGBB 1032","OEE","","Strategic Ranch Management","AGBB-1032","Strategic Ranch Management"
"AGBB 1033: Defining & Evaluating Ranch Management Success","AGBB 1033","AGBB 1033","OEE","","Defining &amp; Evaluating Ranch Management Success","AGBB-1033","Defining & Evaluating Ranch Management Success"
"AGBB 1041: Managing Cow Costs","AGBB 1041","AGBB 1041","OEE","","Managing Cow Costs","AGBB-1041","Managing Cow Costs"
"AGBB 1042: Critical Ranch Decisions","AGBB 1042","AGBB 1042","OEE","","Critical Ranch Decisions","AGBB-1042","Critical Ranch Decisions"
"AGBB 1043: Ranch Management & Marketing","AGBB 1043","AGBB 1043","OEE","","Ranch Management &amp; Marketing","AGBB-1043","Ranch Management & Marketing"
"AGBB 1051: Advancing the Ranching Business","AGBB 1051","AGBB 1051","OEE","","Advancing the Ranching Business","AGBB-1051","Advancing the Ranching Business"
"AGBB 1052: Good Grazing Management","AGBB 1052","AGBB 1052","OEE","","Good Grazing Management","AGBB-1052","Good Grazing Management"
"AGBB 1053: Fitting the Ranch Environment","AGBB 1053","AGBB 1053","OEE","","Fitting the Ranch Environment","AGBB-1053","Fitting the Ranch Environment"
"AGLL 1001: Introduction to Sustainable Landscapes","AGLL 1001","AGLL 1001","OEE","","<p>Sustainable landscapes are the answer to better soil health, water conservation and protection, organic waste reduction, carbon-capture, utilization, and storage, as well as the creation of healthy habitats that support insects and birds. Sustainable landscapes can be truly regenerative, beautiful spaces that provide ecological value to their surroundings. This course covers key concepts for creating sustainable landscapes including what sustainability means as it pertains to landscapes, why sustainable landscaping is important, and an introduction to implementing more sustainable landscape practices.</p><p>Learners receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. Learners will have direct access to an instructor through email.  </p><p><strong><em>Special Note:</em></strong> After registering for this course, please allow at least 30 minutes to receive email confirmation and login credentials to the courses. Be sure to check your SPAM folder for the login information.</p>","AGLL-1001","Sustainable landscapes are the answer to better soil health, water conservation and protection, organic waste reduction, carbon-capture, utilization, and storage, as well as the creation of healthy habitats that support insects and birds."
"AGLL 1002: Soil in Sustainable Landscapes","AGLL 1002","AGLL 1002","OEE","","<p>Step into the fascinating world beneath your feet, where soil isn't just dirt, but one of the keys to your garden's success. In this course, we'll unearth the significance of soil and its importance to establishing flourishing gardens. This course focuses on the benefits of healthy soil and skills for establishing fertile soil practices. Each lesson provides the knowledge and tools for cultivating, testing, and protecting the soil in landscapes.</p><p>Learners receive access to the course for 1 year from the time of registration to complete the course. <br />This is a self-paced course meaning there is no live instructor facilitation. Learners will have direct access to an instructor through email.  </p><p><strong><em>Special Note:</em></strong> After registering for this course, please allow at least 30 minutes to receive email confirmation and login credentials to the courses. Be sure to check your SPAM folder for the login information.  </p>","AGLL-1002","Step into the fascinating world beneath your feet, where soil isn't just dirt, but one of the keys to your garden's success. In this course, we'll unearth the significance of soil and its importance to establishing flourishing gardens."
"AGLL 1003: Water in Sustainable Landscapes","AGLL 1003","AGLL 1003","OEE","","<p>This course focuses on the importance of water conservation and the vital role water plays in resilient landscapes. It compares water use in sustainable and conventional landscapes and looks at practices to mitigate water shortages and pollution including the potential for both residential and commercial properties to contribute to water solutions through the adoption of sustainable landscape practices.  <br /><br />Learners receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. Learners will have direct access to an instructor through email.  </p><strong><em>Special Note:</em></strong> After registering for this course, please allow at least 30 minutes to receive email confirmation and login credentials to the courses. Be sure to check your SPAM folder for the login information.","AGLL-1003","This course focuses on the importance of water conservation and the vital role water plays in resilient landscapes."
"AGLL 1004: Plants in Sustainable Landscapes","AGLL 1004","AGLL 1004","OEE","","<p>Vegetation is vital for sustainable landscapes, providing environmental benefits like clean air and water, temperature regulation, and erosion control. Moreover, plants offer economic advantages such as reduced energy costs and social benefits by creating tranquil environments. This course emphasizes the crucial role of plants in sustainability, including plant selection strategies to create a thriving ecosystem. This course also covers a study on invasive plants to learn more about problematic species in your part of the country.</p><p>Learners receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. Learners will have direct access to an instructor through email.  </p><strong><em>Special Note:</em></strong> After registering for this course, please allow at least 30 minutes to receive email confirmation and login credentials to the courses. Be sure to check your SPAM folder for the login information.","AGLL-1004","Vegetation is vital for sustainable landscapes, providing environmental benefits like clean air and water, temperature regulation, and erosion control."
"AGLL 1005: Sustainable Materials, Maintenance and Design","AGLL 1005","AGLL 1005","OEE","","<p>Creating sustainable landscapes goes beyond just soil, water, and plants. It’s also about crafting spaces that harmonize with nature through thoughtful material selection, innovative design, and adaptive maintenance practices.<strong><em> </em></strong>This course will guide you in these topics plus information about shifting maintenance routines to follow the natural rhythms of the seasons to ensure outdoor spaces are not only resilient but also vibrant and dynamic year-round.<br /><br />Learners receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. Learners will have direct access to an instructor through email.  <br /><br /><strong><em>Special Note:</em></strong> After registering for this course, please allow at least 30 minutes to receive email confirmation and login credentials to the courses. Be sure to check your SPAM folder for the login information. </p>","AGLL-1005","Creating sustainable landscapes goes beyond just soil, water, and plants. It’s also about crafting spaces that harmonize with nature through thoughtful material selection, innovative design, and adaptive maintenance practices."
"AGLL 1006: Green Infrastructure: Rainwater Harvesting & Gardening","AGLL 1006","AGLL 1006","OEE","","<p>Learn the importance of water conservation, green infrastructure and water conservation through rainwater harvesting and gardening including design techniques used to clean and conserve stormwater in a residential landscape and techniques to determining how much rainwater can be captured on a site. This course provides a focused, in-depth exploration of rainwater harvesting. We guide you step-by-step through the process of installing a rain garden, showcasing before and after examples to illustrate establishment and the necessary maintenance required for residential rain gardens.  <br /><br />Learners receive access to the course for 1 year from the time of registration to complete the course. This is a self-paced course meaning there is no live instructor facilitation. Learners will have direct access to an instructor through email.  </p><strong><em>Special Note:</em></strong> After registering for this course, please allow at least 30 minutes to receive email confirmation and login credentials to the courses. Be sure to check your SPAM folder for the login information.","AGLL-1006","Learn the importance of water conservation, green infrastructure and water conservation through rainwater harvesting and gardening including design techniques used to clean and conserve stormwater in a residential landscape and techniques to determining how much rainwater can be captured on a site."
